2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652922710819803', '阿克苏地区三环燃气有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652901738384231', '阿克苏市五星出租汽车有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652923072205494', '库车国民村镇银行有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106757691982', '新疆金海娜生物科技有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91650100660644020K', '新疆天恒基投资（集团）有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106754568567', '乌鲁木齐科源气体制造有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106734452081', '新疆八钢旅游有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104592831894', '天康生物股份有限公司制药一分公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106761105181', '新疆同力专利产品开发有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106556493795', '新疆宝新昌佳石灰制品有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106778985437', '新疆凯泰机械有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652101560549616', '吐鲁番天山水泥有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104766842009', '新疆军企现代机械有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106057726515', '乌鲁木齐荣华花卉苗木种植销售有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106584769939', '乌鲁木齐沃德昌泰贸易有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106584775378', '乌鲁木齐苏铁通达贸易有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65010656053983X', '乌鲁木齐振元裕和汽车服务有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650106080249702', '乌鲁木齐九通桥商贸有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65210167341382X', '中国邮政储蓄银行股份有限公司吐鲁番市分行', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652101229031876', '新疆筑铭建筑规划设计有限责任公司', '2016')
